player_id,level,total_plays,avg_deliverytime
,1A,3,481.6666666666667
,2A,1,561.0
,3A,1,450.0
,4A,1,500.0
433.0,3A,1,600.0
436.0,3A,1,500.0
456.0,3A,1,450.0
463.0,4A,1,550.0
473.0,1A,1,500.0
484.0,4A,1,450.0
674.0,4A,1,500.0
677.0,3A,1,500.0
843.0,4A,1,450.0
933.0,4A,1,500.0
2010.0,2A,1,600.0
3268.0,2A,1,500.0
3358.0,3A,1,500.0
4573.0,3A,1,528.0
4833.0,3A,1,500.0
5460.0,4A,1,500.0
6302.0,4A,1,450.0
6926.0,1A,1,500.0
7191.0,4A,1,500.0
8303.0,3A,1,550.0
8736.0,3A,2,475.0
8912.0,1A,1,450.0
9489.0,3A,1,500.0
