player_id,level,total_plays,total_pickoffs,percent_pickoff,bayesian_percent_pickoff
647,1A,77,0.0,0.0,0.0008140909891939796
9048,1A,27,0.0,0.0,0.0013427215016576027
936,1A,48,0.0,0.0,0.0010549954655881164
7036,1A,88,0.0,0.0,0.0007491996784611261
8049,1A,12,0.0,0.0,0.0016675734778650872
5772,1A,1,0.0,0.0,0.002027246188777165
408,1A,200,1.0,0.005,0.004413558222510542
2846,1A,29,0.0,0.0,0.0013087285522485495
9783,1A,9,0.0,0.0,0.001752365349620939
9668,1A,29,0.0,0.0,0.0013087285522485495
7239,1A,68,0.0,0.0,0.0008761826748104695
2866,1A,33,0.0,0.0,0.001245657296718499
9529,1A,37,0.0,0.0,0.0011883856968693725
4889,1A,18,0.0,0.0,0.0015204346415828736
2021,1A,44,0.0,0.0,0.001099888889655696
557,1A,10,0.0,0.0,0.00172315926046059
9072,1A,6,0.0,0.0,0.0018462420647792038
5891,1A,22,0.0,0.0,0.001435966050383825
418,1A,74,0.0,0.0,0.0008337867389325436
2712,1A,28,0.0,0.0,0.0013255071234312232
598,1A,1274,4.0,0.0031397174254317113,0.0030992368244921716
4346,1A,8,1.0,0.125,0.019023957855648886
8509,1A,49,0.0,0.0,0.001044338945733691
737,1A,302,0.0,0.0,0.0002937203284876006
5838,1A,57,0.0,0.0,0.0009662575292302375
9873,1A,75,0.0,0.0,0.0008271164450210833
2832,1A,64,0.0,0.0,0.0009069259265582053
9244,1A,140,1.0,0.007142857142857143,0.005807313450671765
8497,1A,78,0.0,0.0,0.0008077309033409016
7440,1A,55,0.0,0.0,0.0009846624345489087
7184,1A,15,0.0,0.0,0.001590608548117468
348,1A,172,0.0,0.0,0.00046571871904340273
2252,1A,142,0.0,0.0,0.0005384872688939344
4040,1A,74,0.0,0.0,0.0008337867389325436
3824,1A,120,0.0,0.0,0.0006081738566331494
3476,1A,130,0.0,0.0,0.0005743864201535301
5585,1A,113,0.0,0.0,0.0006342917523167816
7127,1A,59,0.0,0.0,0.0009485280332810588
5154,1A,23,0.0,0.0,0.0014162952825703481
5900,1A,7,0.0,0.0,0.0018138518531164106
7045,1A,32,0.0,0.0,0.0012608482393614074
953,1A,506,0.0,0.0,0.0001859524381792004
4222,1A,75,0.0,0.0,0.0008271164450210833
3009,1A,110,0.0,0.0,0.0006461847226727213
5554,1A,36,0.0,0.0,0.001202204135205063
4212,1A,57,0.0,0.0,0.0009662575292302375
3566,1A,94,0.0,0.0,0.0007179830251919125
4819,1A,41,0.0,0.0,0.0011361489629410485
4453,1A,30,0.0,0.0,0.0012923694453454426
4215,1A,119,0.0,0.0,0.0006117725185067184
2948,1A,58,0.0,0.0,0.0009573107002558834
9712,1A,55,0.0,0.0,0.0009846624345489087
9119,1A,89,0.0,0.0,0.0007438097527168015
5133,1A,22,0.0,0.0,0.001435966050383825
3417,1A,48,0.0,0.0,0.0010549954655881164
5180,1A,108,0.0,0.0,0.0006543642761242748
9556,1A,63,0.0,0.0,0.0009149518197135877
3316,1A,75,0.0,0.0,0.0008271164450210833
7193,1A,42,0.0,0.0,0.0011237995176916892
8603,1A,56,0.0,0.0,0.0009753731662984473
7704,1A,102,0.0,0.0,0.000680194444918654
4254,1A,164,0.0,0.0,0.00048312876461511876
3995,1A,62,0.0,0.0,0.0009231210323896019
9446,2A,24,0.0,0.0,0.0013971561571302082
647,2A,142,2.0,0.014084507042253521,0.010955153935560602
544,2A,620,0.0,0.0,0.00015431276959348568
6073,2A,82,0.0,0.0,0.0007832542093002682
6688,2A,23,0.0,0.0,0.0014162952825703481
8121,2A,15,0.0,0.0,0.001590608548117468
2758,2A,34,0.0,0.0,0.0012308280431861359
6228,2A,46,1.0,0.021739130434782608,0.011493641204454536
9834,2A,63,0.0,0.0,0.0009149518197135877
5444,2A,150,0.0,0.0,0.0005169477781381771
9536,2A,62,0.0,0.0,0.0009231210323896019
557,2A,601,0.0,0.0,0.00015881652170143687
3171,2A,49,0.0,0.0,0.001044338945733691
7087,2A,77,0.0,0.0,0.0008140909891939796
5673,2A,69,0.0,0.0,0.0008688197951902135
8771,2A,70,0.0,0.0,0.000861579630230295
4942,2A,95,0.0,0.0,0.0007130314181216235
3239,2A,56,0.0,0.0,0.0009753731662984473
3125,2A,136,0.0,0.0,0.0005558578259550291
408,2A,1034,4.0,0.0038684719535783366,0.003785414719213686
2323,2A,93,0.0,0.0,0.0007230038855079399
737,2A,358,2.0,0.00558659217877095,0.005155366557910871
6446,2A,118,1.0,0.00847457627118644,0.00656779497397402
8358,2A,17,0.0,0.0,0.0015431276959348569
4774,2A,83,0.0,0.0,0.0007773650799070332
7706,2A,37,0.0,0.0,0.0011883856968693725
5004,2A,68,0.0,0.0,0.0008761826748104695
8589,2A,29,0.0,0.0,0.0013087285522485495
2205,2A,92,0.0,0.0,0.0007280954621664465
4590,2A,52,0.0,0.0,0.0010136230943885824
5321,2A,127,1.0,0.007874015748031496,0.006233839297331274
3748,2A,32,0.0,0.0,0.0012608482393614074
2532,2A,155,0.0,0.0,0.000504339295744563
4721,2A,59,0.0,0.0,0.0009485280332810588
670409,2A,74,0.0,0.0,0.0008337867389325436
4106,2A,95,0.0,0.0,0.0007130314181216235
8558,2A,55,0.0,0.0,0.0009846624345489087
5493,2A,61,0.0,0.0,0.0009314374380868055
4070,2A,50,0.0,0.0,0.0010338955562763541
4482,2A,157,0.0,0.0,0.0004994664523074175
3721,2A,61,0.0,0.0,0.0009314374380868055
5669,2A,59,0.0,0.0,0.0009485280332810588
6798,2A,96,0.0,0.0,0.0007081476412851741
8598,2A,97,0.0,0.0,0.0007033303103920777
2964,2A,84,0.0,0.0,0.0007715638479674284
2765,2A,121,0.0,0.0,0.000604617284372137
9009,2A,61,1.0,0.01639344262295082,0.009940446447095814
920,3A,126,1.0,0.007936507936507936,0.006269258838793383
9744,3A,27,0.0,0.0,0.0013427215016576027
530,3A,49,1.0,0.02040816326530612,0.011145349046743792
719,3A,305,2.0,0.006557377049180328,0.0059250410017679875
7158,3A,52,1.0,0.019230769230769232,0.010817544663016033
6333,3A,25,0.0,0.0,0.0013785274083684721
