player_id,level,avg_lead,total_chances
602,1A,20.603161271969224,19
4141,1A,10.320307507530964,1
683,1A,17.89120714740161,13
9441,1A,20.204836661755078,8
593,1A,17.84865096325391,3
955,1A,16.756629189441256,7
606,1A,14.657816202851109,2
858,1A,17.86041009879546,7
9025,1A,18.89115211668028,19
551,1A,17.779555340285548,11
3564,1A,16.54330180206262,7
9634,1A,15.768612777410432,2
437,1A,18.249654011497558,30
4356,1A,17.321127407791415,2
3530,1A,22.32009471422329,9
974,1A,18.28214855088858,16
3791,1A,21.18613525562098,3
961,1A,17.956016137753494,8
4206,1A,18.52501253614649,3
5697,1A,10.784700363477887,1
9182,1A,13.948849636125376,16
511,1A,16.32386168763768,5
2931,1A,16.649541038124614,12
5125,1A,17.716613882042427,9
4989,1A,19.160685376648082,11
662,1A,14.082943768389208,5
7545,1A,16.419333261162386,2
3581,1A,20.98222011976261,23
7029,1A,19.01412158513326,11
4587,1A,17.42093881189559,11
5509,1A,16.088902038309907,30
4966,1A,16.493889603865263,7
6401,1A,18.93841006832761,24
8442,1A,18.668893687701605,4
391,1A,16.117718215335703,10
7451,1A,15.339655035585164,2
807,1A,13.12601627083791,7
4363,1A,15.63094611775125,10
8977,1A,18.779138329528692,4
2873,1A,19.2310151568544,12
6913,1A,18.24592183197031,3
465,1A,17.302457438129178,99
473,1A,17.888235240788454,21
9662,1A,19.325515996215987,1
367,1A,18.35387053397085,5
877,1A,16.431717884250325,10
5991,1A,17.630914508261952,19
523,1A,17.454292487059018,146
504,1A,18.31641530572378,8
521,1A,18.424513965836894,13
6294,1A,17.262323371475954,4
814,1A,17.573352340819408,29
8231,1A,16.110752869351444,11
906,1A,14.722187291656892,27
402,1A,18.765781752334423,25
741,1A,16.852024162546535,47
7634,1A,20.607843339366926,8
9068,1A,17.136575327654192,6
364,1A,18.49817391754822,48
9570,1A,17.657711877470256,11
378,1A,19.66683686215379,11
7784,1A,16.541546184210635,6
2401,1A,19.149793217050895,6
3711,1A,28.412154614672474,2
7480,1A,19.554522251642968,1
552,1A,15.257560473523846,9
7980,1A,18.86086918951452,10
7967,1A,18.4147701767442,4
344,1A,15.197529323958694,4
9412,1A,16.647683348253857,7
6331,1A,18.99674451010415,2
733,1A,16.814210599276624,50
9314,1A,19.65463619925476,7
2629,1A,13.600032661087035,16
5551,1A,14.034858153517412,4
6926,1A,20.30515647269674,5
660788,1A,14.361127638599006,5
7959,1A,15.591797955904505,8
6467,1A,16.16420450185306,8
7468,1A,15.903786251496975,4
7756,1A,16.691616789902206,10
7342,1A,18.842791904826946,4
7305,1A,11.683023279316837,3
5237,1A,12.817954422960796,3
8513,1A,11.694538305280103,6
8494,1A,12.850535696048745,3
6918,1A,9.577737273188266,3
7403,1A,11.10654177810663,15
9250,1A,14.461667457697695,6
3221,1A,17.618798690483185,9
354,1A,17.765759972275816,97
6117,1A,14.885790301858105,7
2051,1A,15.004001101712023,11
4404,1A,16.971304657760545,12
7714,1A,15.334686304590548,10
4137,1A,17.557739941404762,1
2455,1A,20.53059707516015,10
