player_id,level,total_plays,avg_poptime
,1A,14,2283.214285714286
,2A,7,1998.7142857142858
,3A,8,2118.75
,4A,9,2116.6666666666665
408.0,1A,1,1950.0
408.0,2A,1,2400.0
418.0,1A,1,2050.0
431.0,4A,6,2143.6666666666665
520.0,4A,3,1966.6666666666667
530.0,3A,1,2050.0
530.0,4A,2,1800.0
544.0,2A,5,1958.6
544.0,3A,8,1975.0
598.0,1A,4,2000.0
647.0,2A,1,1950.0
652.0,4A,3,1850.0
719.0,3A,3,2033.3333333333333
719.0,4A,3,2233.3333333333335
737.0,2A,1,1900.0
786.0,3A,7,1880.5714285714287
920.0,3A,2,1875.0
920.0,4A,3,1983.3333333333333
936.0,1A,2,1925.0
953.0,1A,2,1865.5
2021.0,1A,1,1947.0
2252.0,1A,2,1975.0
2323.0,2A,1,1947.0
2384.0,4A,1,2000.0
2409.0,4A,1,1950.0
2693.0,4A,1,1900.0
2712.0,1A,1,1900.0
2758.0,2A,1,1950.0
2765.0,2A,1,2050.0
2832.0,1A,1,1848.0
2866.0,1A,1,2050.0
2964.0,2A,1,2000.0
3042.0,3A,2,2079.0
3208.0,3A,2,1975.0
3272.0,4A,1,1850.0
3305.0,4A,1,1950.0
3449.0,3A,2,1925.0
3721.0,2A,1,1800.0
4134.0,3A,2,1825.0
4185.0,4A,1,1900.0
4294.0,4A,1,1980.0
4305.0,4A,1,1900.0
4371.0,4A,1,2000.0
4741.0,4A,1,1850.0
4829.0,3A,2,1940.0
4942.0,2A,1,2750.0
4979.0,3A,2,2031.5
4995.0,4A,2,1775.0
5239.0,3A,1,1800.0
5257.0,4A,1,1950.0
5278.0,4A,1,2000.0
5390.0,4A,1,1900.0
5493.0,2A,1,2000.0
5669.0,2A,2,2025.0
5673.0,2A,1,2900.0
5807.0,4A,2,1798.5
5891.0,1A,1,1750.0
6073.0,2A,1,2000.0
6446.0,2A,2,2275.0
6687.0,4A,1,2000.0
6688.0,2A,1,1881.0
7045.0,1A,1,2000.0
7086.0,3A,4,2400.0
7145.0,3A,2,1950.0
7338.0,3A,1,1850.0
7448.0,4A,1,1950.0
7648.0,3A,1,2050.0
7893.0,4A,1,1850.0
7924.0,3A,2,2050.0
8429.0,4A,3,2016.6666666666667
8603.0,1A,1,1782.0
8815.0,3A,3,1916.6666666666667
8904.0,4A,1,2300.0
9072.0,1A,1,1900.0
9213.0,4A,1,1900.0
9834.0,2A,2,1831.5
9996.0,4A,1,1900.0
659635.0,3A,1,1850.0
