player_id,level,avg_lead,total_chances
647,1A,19.711343180137458,28
9048,1A,17.765552575148313,17
936,1A,20.993706762715764,27
7036,1A,17.09014921857023,20
8049,1A,15.132765139808454,2
5772,1A,18.473182499233857,1
408,1A,18.90978046967474,75
2846,1A,19.346870420001483,11
9783,1A,18.42196123002942,4
9668,1A,13.674308661140225,5
7239,1A,20.553782813389045,19
2866,1A,26.78063039119515,7
9529,1A,16.24449131703366,12
4889,1A,17.621528544914227,9
2021,1A,18.377114223759968,17
557,1A,17.632699957475925,4
9072,1A,23.570840242587195,2
5891,1A,19.764036720062133,10
418,1A,17.29113782724322,30
2712,1A,16.837734657243665,12
598,1A,17.970137647925313,386
4346,1A,15.771452331173784,3
8509,1A,20.107628903922752,12
737,1A,18.408355119035843,71
5838,1A,19.023039341881415,11
9873,1A,19.913020941680852,15
2832,1A,22.97196454094835,16
9244,1A,16.19141535287345,26
8497,1A,13.844487502667707,16
7440,1A,9.883760155964797,14
7184,1A,15.04667090565695,4
348,1A,14.497085203443463,44
2252,1A,17.52281556593988,42
4040,1A,16.029983002277902,17
3824,1A,20.785510221929776,27
3476,1A,15.049637877080954,36
5585,1A,11.37576822702737,13
7127,1A,18.033236479540417,22
5154,1A,8.1395749434476,1
5900,1A,36.293982926237234,1
7045,1A,14.201645923686304,10
953,1A,19.949087751625793,107
4222,1A,24.644402873024557,12
3009,1A,19.632617127847038,30
5554,1A,19.93435476596081,5
4212,1A,18.71412261691379,13
3566,1A,19.105565883039322,35
4819,1A,21.280007802281425,10
4453,1A,28.672792630678835,2
4215,1A,17.912738596537814,20
2948,1A,16.232569805937683,13
9712,1A,25.663123517750538,17
9119,1A,20.68206286483615,19
5133,1A,17.511748978037406,10
3417,1A,15.765593762031658,22
5180,1A,17.304292319506622,23
9556,1A,22.33756369999144,12
3316,1A,15.797210529826874,21
7193,1A,11.768714959880862,9
8603,1A,21.061257322563318,27
7704,1A,17.206997876455834,47
4254,1A,18.12200219904556,44
3995,1A,21.830495534849735,14
9446,2A,23.00010702599846,9
647,2A,16.41353321136497,49
544,2A,19.44660622357706,182
6073,2A,19.04943275772219,24
6688,2A,22.498238121635445,4
8121,2A,19.517282096575894,6
2758,2A,17.772024727432452,16
6228,2A,15.405879796513425,22
9834,2A,23.263129948267032,25
5444,2A,21.50258496388002,45
9536,2A,34.08249849930972,14
557,2A,18.51745896784212,177
3171,2A,15.433418901887034,13
7087,2A,24.470130734626142,12
5673,2A,17.476241613814814,21
8771,2A,25.86614019378505,16
4942,2A,18.362617215787,25
3239,2A,19.07466251353761,14
3125,2A,22.083638167457494,32
408,2A,18.276179906443232,333
2323,2A,18.167770990325884,23
737,2A,16.259022471898216,94
6446,2A,20.57007332647615,60
8358,2A,15.658388260615638,5
4774,2A,17.960774650919365,12
7706,2A,19.312063309681488,15
5004,2A,12.375853473783957,16
8589,2A,15.16494813659589,9
2205,2A,14.56837228773083,14
4590,2A,19.173991199150528,13
5321,2A,22.165057013946175,30
3748,2A,19.021688580479484,10
2532,2A,17.402050145466166,48
4721,2A,17.03376417034656,28
670409,2A,21.046317313996774,18
4106,2A,18.528058952873447,31
8558,2A,20.965454094510346,22
5493,2A,26.061395462470188,21
4070,2A,20.482316793927442,12
4482,2A,17.607068066985782,58
3721,2A,27.482335092518145,16
5669,2A,17.508404286610887,18
6798,2A,15.37203466595555,32
8598,2A,15.940229976789087,18
2964,2A,20.138139601438656,26
2765,2A,16.67524100447224,48
9009,2A,17.315458699703846,20
920,3A,17.29647540631493,47
9744,3A,16.556734270046427,14
530,3A,19.558160740489758,22
719,3A,18.610534542263192,109
7158,3A,18.089094886251488,14
6333,3A,19.382069985740138,4
7601,3A,17.846545273854407,13
786,3A,17.066453221436394,606
7977,3A,18.068344161600688,4
4134,3A,18.92171455939702,14
3449,3A,19.468623600118686,29
4829,3A,18.882844362849802,35
2325,3A,16.621378474568733,31
7811,3A,11.295947622403602,3
7648,3A,11.314564388346486,28
936,3A,11.509135608645865,4
4979,3A,18.526741742579507,75
3536,3A,24.19417284929974,14
7106,3A,17.866897635117684,21
2497,3A,16.08729270912132,55
3042,3A,24.21789899782003,6
8815,3A,20.846143964425785,62
2092,3A,15.808026862126477,53
544,3A,18.3510089615262,375
2546,3A,9.380490246433592,8
2409,4A,17.40553110696122,26
8904,4A,17.137774650640615,38
8673,4A,17.62866852630755,11
4974,4A,13.359178664988566,7
9213,4A,16.548611209388667,24
4995,4A,19.5863292722515,26
5390,4A,16.77324384699061,12
8429,4A,18.244559432406092,31
9791,4A,18.711133784337107,24
5278,4A,17.064353777513,22
6727,4A,16.587989703416298,14
448,4A,17.213767956981705,65
5205,4A,17.199587235734977,43
920,4A,19.0878959299105,384
6786,4A,15.610397983374394,16
4371,4A,23.703263698447362,30
8088,4A,19.47883347446303,26
4294,4A,17.690806125595124,30
2322,4A,16.906695763105382,25
3305,4A,22.20504548155347,34
3272,4A,18.282839070194257,27
5151,4A,16.61391937201008,37
6687,4A,24.461301382298927,16
2689,4A,17.535307369801842,53
8111,4A,19.036061402837543,12
719,4A,18.99656380740561,117
9760,4A,16.852050361329837,10
8381,4A,19.15019378613181,37
7094,4A,21.888616839881156,3
3482,4A,17.627854223870408,41
9335,4A,18.7338352831707,6
8856,4A,16.827177338174966,19
9366,4A,18.345791000186587,36
2533,4A,18.41721310765564,10
5492,4A,17.05058557957398,14
8797,4A,15.934407629991506,49
5363,4A,18.78196248072536,11
6272,4A,17.87765075950112,27
